team_tag,team_name
CChasers,Clapham Chasers
SDW,Southborough District Wheelers
CCC,Cranleigh Cycling Club
LondonDynamo,London Dynamo
Team VCGH,Team VCGH
MDV | IG,Mainson Du Velo | In Gear
Penge CC,Penge Cycle Club
Njinga Cycling,Njinga Cycling
HCZR,Horsham Cycling Club
LECR,L'Equipe Cyclopaths
FCCC,Farnborough & Camberley Cycling
TRISURREY,Tri Surrey
CWIC,Crawley Wheelers
CCR,Chichester City Riders
QRCC,Quick Release Cycling Club
EGCC - UK,East Grinstead CC
KWCC,Kingston Wheelers
IRL,ZC Team Ireland
MVC,Medway Velo Club
HSR,Handsling Racing
TRC,Thanet Road Club
WVS,Watford Velo Sport
LeeVelo,Lee Velo
TFC,TeamTFC
Wildcats,Wildcats RT
Hythe CC,Hythe Cycling Club
RochCC,Rochester Cycling Club
WigmoreCC,Wigmore CC
DWRT,Dirty WKND
VCM,VC Meudon RT
BRC,BRC
Paceline RT,Paceline RT
LPCC,London Phoenix CC
GSM,GC Mossa
Ful-on Tri,Ful-on Tri
UKC,University of Kent Cycling
A.R.T,A.R.T
Abellio RT,ABELLIO RT
Woolwich CC,Woolwich Cycling Club
BalhamCC,Balham Cycling Club
BC South East,British Cycling South East
