A,B,C,D,E
100,75,50,30,100
95,70,49,29,95
90,65,48,28,90
85,60,47,27,85
80,55,46,26,80
75,50,45,25,75
70,49,44,24,70
65,48,43,23,65
60,47,42,22,60
55,46,41,21,55
50,45,40,20,50
49,44,39,19,49
48,43,38,18,48
47,42,37,17,47
46,41,36,16,46
45,40,35,15,45
44,39,34,14,44
43,38,33,13,43
42,37,32,12,42
41,36,31,11,41
40,35,30,10,40
39,34,29,9,39
38,33,28,8,38
37,32,27,7,37
36,31,26,6,36
35,30,25,5,35
34,29,24,4,34
33,28,23,3,33
32,27,22,2,32
31,26,21,1,31
30,25,20,,30
29,24,19,,29
28,23,18,,28
27,22,17,,27
26,21,16,,26
25,20,15,,25
24,19,14,,24
23,18,13,,23
22,17,12,,22
21,16,11,,21
20,15,10,,20
19,14,9,,19
18,13,8,,18
17,12,7,,17
16,11,6,,16
15,10,5,,15
14,9,4,,14
13,8,3,,13
12,7,2,,12
11,6,1,,11
10,5,,,10
9,4,,,9
8,3,,,8
7,2,,,7
6,1,,,6
5,,,,5
4,,,,4
3,,,,3
2,,,,2
1,,,,1
