,race_id,Cat,Team,Points
1,902045,B,WVS,75.0
0,902045,B,LondonDynamo,70.0
3,902045,C,LondonDynamo,50.0
2,902045,C,IRL,49.0
9,902045,E,Penge CC,240.0
4,902045,E,CCC,161.0
5,902045,E,CChasers,160.0
10,902045,E,SDW,150.0
7,902045,E,FCCC,110.0
8,902045,E,LondonDynamo,100.0
6,902045,E,CWIC,48.0
22,902067,A,SDW,306.0
13,902067,A,CChasers,233.0
23,902067,A,Team VCGH,204.0
19,902067,A,LondonDynamo,132.0
11,902067,A,CCC,89.0
18,902067,A,LPCC,85.0
12,902067,A,CCR,70.0
21,902067,A,Penge CC,55.0
17,902067,A,KWCC,47.0
20,902067,A,MDV ,43.0
14,902067,A,FCCC,41.0
15,902067,A,HCZR,40.0
16,902067,A,HSR,39.0
24,902067,B,CCC,276.0
35,902067,B,SDW,260.0
38,902067,B,Team VCGH,197.0
30,902067,B,LondonDynamo,161.0
28,902067,B,HCZR,154.0
25,902067,B,CChasers,151.0
36,902067,B,TFC,87.0
31,902067,B,MDV ,65.0
33,902067,B,Penge CC,49.0
26,902067,B,EGCC - UK,29.0
37,902067,B,TRISURREY,28.0
32,902067,B,Njinga Cycling,25.0
27,902067,B,FCCC,19.0
29,902067,B,LECR,18.0
34,902067,B,QRCC,15.0
39,902067,C,CCC,144.0
46,902067,C,Njinga Cycling,122.0
47,902067,C,SDW,119.0
44,902067,C,MDV ,110.0
48,902067,C,TRISURREY,91.0
40,902067,C,CChasers,89.0
43,902067,C,LondonDynamo,50.0
45,902067,C,MVC,45.0
41,902067,C,CWIC,39.0
42,902067,C,Hythe CC,31.0
51,902067,D,LECR,30.0
53,902067,D,SDW,29.0
49,902067,D,CCC,28.0
52,902067,D,Penge CC,27.0
50,902067,D,FCCC,26.0
